RECORD_NO	AGENCY_CD	SITE_NO	MEDIUM_CD	SAMPLE_START_DT	SAMPLE_START_SG	SAMPLE_START_TZ_CD	SAMPLE_START_LOCAL_TM_FG	SAMPLE_END_DT	SAMPLE_END_SG	SAMPLE_END_TZ_CD	SAMPLE_END_LOCAL_TM_FG	SAMPLE_ID	TM_DATUM_RLBLTY_CD	ANL_STAT_CD	HYD_COND_CD	SAMP_TYPE_CD	HYD_EVENT_CD	PROJECT_CD	AQFR_CD	LAB_NO	TU_ID	BODY_PART_ID	COLL_ENT_CD	SIDNO_PARTY_CD	SAMPLE_CN	SAMPLE_CR	SAMPLE_MN	SAMPLE_MD	STATION_NM	DEC_LAT_VA	DEC_LONG_VA	HUC_CD	Stream width	Temperature, water	Temperature, air	Air pressure	Discharge, instant.	No. of sampling pts.	Gage height	Specific cond at 25C	Dissolved oxygen	pH	ANC, wu,fxdEP,fld	Alkalinity, wf,fixedEP,field	Phosphorus, wu	Phosphorus, wf	Calcium, wf	Calcium, wu,recov	Magnesium, wf	Magnesium, wu,recov	Sodium, wu,recov	Sodium, wf	Potassium, wf	Potassium, wu,recov	Chloride, wf	Sulfate, wf	Sulfate, wu	Silica, wu	Silica, wf	Silica, wu.1	Arsenic, wu	Vanadium, wu	Arsenic, wf	Barium, wf	Barium, wu,recov	Beryllium, wf	Beryllium, wu,recov	Bismuth, wf	Bismuth, wu	Cadmium, wf	Chromium, wf	Chromium, wu,recov	Cobalt, wf	Cobalt, wu,recov	Copper, wf	Copper, wu,recov	Iron, wu,recov	Iron, wf	Iron(II), wf	Lead, wf	Lead, wu,recov	Manganese, wu,recov	Manganese, wf	Thallium, wf	Thallium, wu	Molybdenum, wf	Molybdenum, wu,recov	Nickel, wf	Nickel, wu,recov	Silver, wf	Silver, wu,recov	Strontium, wf	Strontium, wu,recov	Vanadium, wf	Zinc, wf	Zinc, wu,recov	Antimony, wf	Antimony, wu	Aluminum, wu,recov	Aluminum, wf	Cerium, wf	Cerium, wu	Cadmium, wu,recov	Cesium, wf	Cesium, wu	Gallium, wf	Gallium, wu	Germanium, wf	Germanium, wu	Lithium, wf	Lithium, wu,recov	Rubidium, wf	Rubidium, wu	Selenium, wf	Selenium, wu	Titanium, wf	Titanium, wu	Tungsten, wu	Tungsten, wf	Zirconium, wf	Zirconium, wu	Lanthanum, wf	Lanthanum, wu	Scandium, wf	Scandium, wu	Ytterbium, wf	Ytterbium, wu	Yttrium, wf	Yttrium, wu	Terbium, wu	Gadolinium, wu	Europium, wu	Neodymium, wu	Praseodymium, wu	Niobium, wu	Lutetium, wu	Thulium, wu	Erbium, wu	Holmium, wu	Oil & grease, severity	Suds or foam, severity	Float.Garbage, svrty	Floating algae mats, severity	Odor, severity	Dead fish, severity	Floating debris, severity	Turbidity, severity	Tritium, wu	Uranium, wf	Uranium, wu	Bicarbonate, wu,Gran,field	Alkalinity,wf,Gran,field	ANC, wu,Gran,field	Transit rate, sampler	Site visit purpose	Erbium, wf	Europium, wf	Gadolinium, wf	Holmium, wf	Neodymium, wf	Niobium, wf	Praseodymium, wf	Terbium, wf	Thulium, wf	Lutetium, wf	Bicarbonate, wf, Gran, field	Hydrogen sulfide, wu	Sample purpose	Sample source	Sampling condition	Sample location, downstream	Sample location, upstream	Tritium 2scu, wu	Sulfur, wu	Stream velocity	H-2/H-1 ratio, wu	delta O-18, wu	Tantalum, wu	Tantalum, wf	Samarium, wu	Samarium, wf	Dysprosium, wu	Dysprosium, wf	Thorium, wu	Thorium, wf	Sampling method	Sampler type	Sample splitter type	Iron(III), calculated, wf	Type of replicate	Type of QA data	Topical QC data purpose	SpecCond,wu25degCLab	Type of blank solution	Source of blank solution	Type of blank sample	Source of reference material	Lot No, 1st, inorg grade watr
00505840	USGS 	391500106224901	WG 	2005-07-17 12:10:00	m	MST   	Y	NA	NA	NA	NA	NA	K	U	X	9	X	8582-9YD1	NA	NA	NA	NA	USGS-WRD	NA	keelin  	2008-01-15 17:16:44	keelin  	2008-01-15 17:16:44	UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI	39.25	-106.380277777778	11020001	NA	4 	NA	NA	NA	NA	NA	225.1 	NA	4.32 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-133.77 	-17.58 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
00505841	USGS 	391500106224901	WG 	2005-08-10 12:00:00	m	MST   	Y	NA	NA	NA	NA	NA	K	U	X	7	X	8582-9YD1	NA	NA	NA	NA	USGS-WRD	NA	keelin  	2008-01-15 17:16:44	keelin  	2008-01-15 17:16:44	UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI	39.25	-106.380277777778	11020001	NA	4.5 	NA	NA	NA	NA	NA	253.7 	NA	4.24 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-132.43 	-17.47 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
00505842	USGS 	391500106224901	WG 	2005-09-26 13:25:00	m	MST   	Y	NA	NA	NA	NA	NA	K	U	X	9	X	8582-9YD1	NA	NA	NA	NA	USGS-WRD	NA	keelin  	2008-01-15 17:16:45	keelin  	2008-01-15 17:16:45	UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI	39.25	-106.380277777778	11020001	NA	5 	NA	NA	NA	NA	NA	250.9 	NA	4.12 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-131.58 	-17.3 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
00505843	USGS 	391501106224901	WG 	2005-05-16 14:00:00	m	MST   	Y	NA	NA	NA	NA	NA	K	U	X	9	X	8582-9YD1	NA	NA	NA	NA	USGS-WRD	NA	keelin  	2008-01-15 17:16:45	keelin  	2008-01-15 17:16:45	SC00908124CBAD2 SLGS-07 SUGARLOAF GULCH SEEP 7	39.2502777777778	-106.380277777778	11020001	NA	16 	NA	NA	NA	NA	NA	457.1 	NA	3.67 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-136.21 	-17.94 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
00505844	USGS 	391501106224901	WG 	2005-06-21 13:20:00	m	MST   	Y	NA	NA	NA	NA	NA	K	U	X	9	X	8582-9YD1	NA	NA	NA	NA	USGS-WRD	NA	keelin  	2008-01-15 17:16:45	keelin  	2008-01-15 17:16:45	SC00908124CBAD2 SLGS-07 SUGARLOAF GULCH SEEP 7	39.2502777777778	-106.380277777778	11020001	NA	11 	NA	NA	NA	NA	NA	451.8 	NA	3.65 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-139.15 	-18.36 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
00505845	USGS 	391501106224901	WG 	2005-07-17 13:15:00	m	MST   	Y	NA	NA	NA	NA	NA	K	U	X	9	X	8582-9YD1	NA	NA	NA	NA	USGS-WRD	NA	keelin  	2008-01-15 17:16:45	keelin  	2008-01-15 17:16:45	SC00908124CBAD2 SLGS-07 SUGARLOAF GULCH SEEP 7	39.2502777777778	-106.380277777778	11020001	NA	19 	NA	NA	NA	NA	NA	715.5 	NA	3.33 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-140.95 	-18.55 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
00505846	USGS 	391501106224901	WG 	2005-08-10 13:10:00	m	MST   	Y	NA	NA	NA	NA	NA	K	U	X	9	X	8582-9YD1	NA	NA	NA	NA	USGS-WRD	NA	keelin  	2008-01-15 17:16:46	keelin  	2008-01-15 17:16:46	SC00908124CBAD2 SLGS-07 SUGARLOAF GULCH SEEP 7	39.2502777777778	-106.380277777778	11020001	NA	14.5 	NA	NA	NA	NA	NA	673 	NA	3.61 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-130.8 	-17.43 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
00505847	USGS 	391501106224901	WG 	2005-09-26 13:30:00	m	MST   	Y	NA	NA	NA	NA	NA	K	U	X	9	X	8582-9YD1	NA	NA	NA	NA	USGS-WRD	NA	keelin  	2008-01-15 17:16:46	keelin  	2008-01-15 17:16:46	SC00908124CBAD2 SLGS-07 SUGARLOAF GULCH SEEP 7	39.2502777777778	-106.380277777778	11020001	NA	8 	NA	NA	NA	NA	NA	843.7 	NA	3.04 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-141.49 	-18.85 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
00505848	USGS 	391502106230601	WS 	2005-05-16 12:15:00	m	MST   	Y	NA	NA	NA	NA	NA	K	U	9	9	9	8582-9YD1	NA	NA	NA	NA	USGS-WRD	NA	keelin  	2008-01-15 17:16:47	keelin  	2008-01-15 17:16:47	SUGARLOAF GL ABV NELSON MINE DR TUNL ABV LAKE FORK	39.2505555555556	-106.385	11020001	NA	6 	NA	NA	NA	NA	NA	82.54 	NA	4.5 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-132.44 	-17.35 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
00505849	USGS 	391502106230601	WS 	2005-06-21 11:50:00	m	MST   	Y	NA	NA	NA	NA	NA	K	U	9	9	9	8582-9YD1	NA	NA	NA	NA	USGS-WRD	NA	keelin  	2008-01-15 17:16:48	keelin  	2008-01-15 17:16:48	SUGARLOAF GL ABV NELSON MINE DR TUNL ABV LAKE FORK	39.2505555555556	-106.385	11020001	NA	8 	NA	NA	NA	NA	NA	117.6 	NA	4.71 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-133.25 	-17.52 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
00505850	USGS 	391504106223001	WS 	2005-05-16 10:45:00	m	MST   	Y	NA	NA	NA	NA	NA	K	U	9	7	9	8582-9YD1	NA	NA	NA	NA	USGS-WRD	NA	keelin  	2008-01-15 17:16:50	keelin  	2008-01-15 17:16:50	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	39.2511111111111	-106.375	11020001	NA	4 	NA	NA	15 	NA	NA	27.19 	NA	7.28 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-123.82 	-16.58 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
00505851	USGS 	391504106223001	WS 	2005-06-21 10:00:00	m	MST   	Y	NA	NA	NA	NA	NA	K	U	9	9	9	8582-9YD1	NA	NA	NA	NA	USGS-WRD	NA	keelin  	2008-01-15 17:16:51	keelin  	2008-01-15 17:16:51	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	39.2511111111111	-106.375	11020001	NA	7 	NA	NA	14.2 	NA	NA	25.13 	NA	7.07 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-130.37 	-17.34 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
00505852	USGS 	391504106223001	WS 	2005-07-07 08:30:00	m	MST   	Y	NA	NA	NA	NA	NA	K	U	9	9	9	8582-9YD1	NA	NA	NA	NA	USGS-WRD	NA	keelin  	2008-01-15 17:16:51	keelin  	2008-01-15 17:16:51	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	39.2511111111111	-106.375	11020001	NA	6.7 	NA	NA	14.2 	NA	NA	24.07 	NA	6.94 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-129.93 	-17.4 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
00505853	USGS 	391504106223001	WS 	2005-07-12 08:55:00	m	MST   	Y	NA	NA	NA	NA	NA	K	U	9	9	9	8582-9YD1	NA	NA	NA	NA	USGS-WRD	NA	keelin  	2008-01-15 17:16:51	keelin  	2008-01-15 17:16:51	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	39.2511111111111	-106.375	11020001	NA	5 	NA	NA	14.2 	NA	NA	24.01 	NA	6.89 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-129.92 	-17.39 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
00505854	USGS 	391504106223001	WS 	2005-07-17 10:40:00	m	MST   	Y	NA	NA	NA	NA	NA	K	U	9	9	9	8582-9YD1	NA	NA	NA	NA	USGS-WRD	NA	keelin  	2008-01-15 17:16:51	keelin  	2008-01-15 17:16:51	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	39.2511111111111	-106.375	11020001	NA	5 	NA	NA	15 	NA	NA	24.53 	NA	6.87 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-129.1 	-17.46 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
00505855	USGS 	391504106223001	WS 	2005-07-21 08:50:00	m	MST   	Y	NA	NA	NA	NA	NA	K	U	9	7	9	8582-9YD1	NA	NA	NA	NA	USGS-WRD	NA	keelin  	2008-01-15 17:16:52	keelin  	2008-01-15 17:16:52	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	39.2511111111111	-106.375	11020001	NA	4.5 	NA	NA	14.2 	NA	NA	24.06 	NA	6.69 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-129.54 	-17.47 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
00505856	USGS 	391504106223001	WS 	2005-07-26 09:15:00	m	MST   	Y	NA	NA	NA	NA	NA	K	U	9	9	9	8582-9YD1	NA	NA	NA	NA	USGS-WRD	NA	keelin  	2008-01-15 17:16:52	keelin  	2008-01-15 17:16:52	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	39.2511111111111	-106.375	11020001	NA	4.5 	NA	NA	14.2 	NA	NA	24.27 	NA	7.22 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-129.9 	-17.43 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
