RECORD_NO	SITE_NO	STATION_NM	SAMPLE_START_DT	MEDIUM_CD	PROJECT_CD	FA	RA	field	Q	Alk	NWQL	isotopes
01305855	391501106224901	SC00908124CBAD2 SLGS-07 SUGARLOAF GULCH SEEP 7	2013-09-19 12:30:00	WG 	009YD0200		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330					
01305856	391501106225001	SLGS-09 SUGARLOAF GULCH SEEP 9 PIPE NR DINERO, CO	2013-09-19 13:20:00	WG 	009YD0200		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330					
01305857	391445106230701	SC00908124DDDA1 SBGS-01 STRAWBERRY GULCH SEEP 1	2013-09-19 15:10:00	WG 	009YD0200		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330					
01305858	391443106225701	SBG-0 STRAWBERRY GULCH AT MOUTH NR LEADVILLE, CO	2013-09-19 16:05:00	WS 	009YD0200							
01305859	391504106225201	LSG-0 LITTLE SUGARLOAF GULCH US FROM DINERO MINE D	2013-09-20 09:40:00	WS 	009YD0200							
01305860	391512106230001	SC00908019BCCA1 LSGS-03 LITTLE SUGARLOAF GL SEEP 3	2013-09-20 10:30:00	WG 	009YD0200		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330					
01305861	391517106230601	SC00908124ADAA1 LSGS-05 LITTLE SUGARLOAF GL SEEP 5	2013-09-20 11:35:00	WG 	009YD0200		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330					
01305862	391517106230602	LSG-06 LITTLE SUGARLOAF GL 6 NR LEADVILLE, CO	2013-09-20 12:35:00	WS 	009YD0200							
01305864	391518106230901	LSGS-10, LITTLE SUGARLOAF GULCH SEEP 10	2013-09-20 14:30:00	WG 	009YD0200		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330					
01305865	391519106230901	LSGS-11, LITTLE SUGARLOAF GULCH SEEP 11	2013-09-20 15:10:00	WG 	009YD0200		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330					
01305866	391559106230901	SC00908113ADDD1 TLSS-03 TURQUOISE LAKE SOUTH SEEP	2013-09-19 11:45:00	WG 	009YD0200							
01305867	391606106241601	SC00908113ADB TL-ADIT	2013-09-19 12:45:00	WG 	009YD0200							
01305868	391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2013-09-19 14:45:00	WG 	009YD0200							
01305869	391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2013-09-19 16:30:00	WG 	009YD0200							
01305870	391452106224201	LF-580 LAKEFORK DS FROM SUGARLOAF GULCH NR LEADVIL	2013-09-20 10:00:00	WS 	009YD0200							
01305871	391454106224201	LF-537 SUGARLOAF GULCH AT MOUTH NR LEADVILLE, CO	2013-09-20 10:30:00	WS 	009YD0200							
01305872	391513106232601	SC00908124ACAD1 SLGS-04 SUGARLOAF GULCH SEEP 4	2013-09-20 12:30:00	WG 	009YD0200		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330					
01305873	391502106230601	SUGARLOAF GL ABV NELSON MINE DR TUNL ABV LAKE FORK	2013-09-20 13:20:00	WS 	009YD0200							
01305874	391501106230601	NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL	2013-09-20 13:50:00	WG 	009YD0200							
01305875	391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2013-09-20 15:00:00	WS 	009YD0200							
01305876	391501106225401	SLG-01 SUGARLOAF GULCH US FROM DINERO MINE DRNG TU	2013-09-20 15:45:00	WS 	009YD0200							
01400280	391512106230401	DINERO STRUCTURE AT 1200 FT NEAR LEADVILLE, CO	2013-10-28 09:15:00	WG 	009YD0200			00010,00025,00300	00061			
01400281	391513106230401	DINERO BULKHEAD SPIGOT AT 1250 FT NR LEADVILLE, CO	2013-10-28 09:25:00	WG 	009YD0200			00010,00025,00300	00061			
01402566	391454106224201	LF-537 SUGARLOAF GULCH AT MOUTH NR LEADVILLE, CO	2014-05-29 11:30:00	WS 	009YD1900							
01402567	391500106224901	UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI	2014-05-29 12:15:00	WG 	009YD1900							
01402568	391501106224901	SC00908124CBAD2 SLGS-07 SUGARLOAF GULCH SEEP 7	2014-05-29 12:50:00	WG 	009YD1900		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330					
01402569	391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2014-05-29 13:30:00	WG 	009YD1900							
01402570	391504106225201	LSG-0 LITTLE SUGARLOAF GULCH US FROM DINERO MINE D	2014-05-29 14:00:00	WS 	009YD1900							
01402571	391501106225401	SLG-01 SUGARLOAF GULCH US FROM DINERO MINE DRNG TU	2014-05-29 15:30:00	WS 	009YD1900			00300				
01402572	391501106230601	NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL	2014-05-29 16:30:00	WG 	009YD1900							
01402573	391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2014-05-30 09:20:00	WS 	009YD1900							
01402574	391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2014-05-30 10:00:00	WG 	009YD1900							
01402575	391512106230001	SC00908019BCCA1 LSGS-03 LITTLE SUGARLOAF GL SEEP 3	2014-05-30 12:00:00	WG 	009YD1900		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330	00300				
01402576	391517106230601	SC00908124ADAA1 LSGS-05 LITTLE SUGARLOAF GL SEEP 5	2014-05-30 12:45:00	WG 	009YD1900		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330	00300				
01402577	391517106230602	LSG-06 LITTLE SUGARLOAF GL 6 NR LEADVILLE, CO	2014-05-30 13:00:00	WS 	009YD1900			00300				
01402578	391519106230901	LSGS-11, LITTLE SUGARLOAF GULCH SEEP 11	2014-05-30 13:45:00	WG 	009YD1900		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330	00300				
01402579	391518106230901	LSGS-10, LITTLE SUGARLOAF GULCH SEEP 10	2014-05-30 13:20:00	WG 	009YD1900		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330	00300				
01402580	391452106224201	LF-580 LAKEFORK DS FROM SUGARLOAF GULCH NR LEADVIL	2014-05-29 10:15:00	WS 	009YD1900					00418,29802,63786		
01402581	391443106225701	SBG-0 STRAWBERRY GULCH AT MOUTH NR LEADVILLE, CO	2014-05-29 12:05:00	WS 	009YD1900							
01402582	391445106230701	SC00908124DDDA1 SBGS-01 STRAWBERRY GULCH SEEP 1	2014-05-29 12:55:00	WG 	009YD1900		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330					
01402583	391449106232001	SC00908124DDBC1 SBGS-02 STRAWBERRY GULCH SEEP 2	2014-05-29 13:45:00	WG 	009YD1900		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330					
01402584	391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2014-05-29 14:40:00	WG 	009YD1900				00061			
01402585	391502106230601	SUGARLOAF GL ABV NELSON MINE DR TUNL ABV LAKE FORK	2014-05-29 16:25:00	WS 	009YD1900							
01402586	391559106230901	SC00908113ADDD1 TLSS-03 TURQUOISE LAKE SOUTH SEEP	2014-05-30 09:40:00	WG 	009YD1900				00061			
01402587	391530106223601	SC00908019BDAB1 BG-011BARTLETTT GULCH 13 NR LEADVI	2014-05-30 13:05:00	WS 	009YD1900							
01402588	391512106230401	DINERO STRUCTURE AT 1200 FT NEAR LEADVILLE, CO	2014-05-30 15:55:00	WG 	009YD1900			00025				
01402589	391513106230401	DINERO BULKHEAD SPIGOT AT 1250 FT NR LEADVILLE, CO	2014-05-30 16:05:00	WG 	009YD1900			00025	00061	00418,29802,63786		
01402590	391513106232601	SC00908124ACAD1 SLGS-04 SUGARLOAF GULCH SEEP 4	2014-05-30 12:20:00	WG 	009YD1900		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330					
01402591	391600106235701	TLS-05 TURQUOISE LAKE SOUTH 5	2014-06-12 11:55:00	WS 	009YD1900			00025,00300				
01402592	391606106241601	SC00908113ADB TL-ADIT	2014-06-12 12:40:00	WG 	009YD1900			00025,00300		00418,29802,63786		
01403803	391502106230601	SUGARLOAF GL ABV NELSON MINE DR TUNL ABV LAKE FORK	2014-09-24 12:40:00	WS 	009YD1900							
01403804	391452106224201	LF-580 LAKEFORK DS FROM SUGARLOAF GULCH NR LEADVIL	2014-09-23 10:45:00	WS 	009YD1900							
01403805	391606106241601	SC00908113ADB TL-ADIT	2014-09-23 12:15:00	WG 	009YD1900							
01403806	391559106230901	SC00908113ADDD1 TLSS-03 TURQUOISE LAKE SOUTH SEEP	2014-09-23 13:55:00	WG 	009YD1900							
01403807	391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2014-09-23 16:10:00	WG 	009YD1900							
01403808	391443106225701	SBG-0 STRAWBERRY GULCH AT MOUTH NR LEADVILLE, CO	2014-09-24 09:00:00	WS 	009YD1900							
01403809	391445106230701	SC00908124DDDA1 SBGS-01 STRAWBERRY GULCH SEEP 1	2014-09-24 09:30:00	WG 	009YD1900		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330					
01403810	391449106232001	SC00908124DDBC1 SBGS-02 STRAWBERRY GULCH SEEP 2	2014-09-24 10:15:00	WG 	009YD1900		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330					
01403811	391513106232601	SC00908124ACAD1 SLGS-04 SUGARLOAF GULCH SEEP 4	2014-09-24 11:30:00	WG 	009YD1900		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330					
01403812	391501106230601	NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL	2014-09-24 13:40:00	WG 	009YD1900							
01403813	391501106225401	SLG-01 SUGARLOAF GULCH US FROM DINERO MINE DRNG TU	2014-09-24 14:25:00	WS 	009YD1900							
01403814	391454106224201	LF-537 SUGARLOAF GULCH AT MOUTH NR LEADVILLE, CO	2014-09-23 11:45:00	WS 	009YD1900							
01403815	391500106224901	UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI	2014-09-23 12:45:00	WG 	009YD1900							
01403816	391501106224901	SC00908124CBAD2 SLGS-07 SUGARLOAF GULCH SEEP 7	2014-09-23 13:15:00	WG 	009YD1900		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330					
01403817	391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2014-09-23 14:10:00	WG 	009YD1900							
01403818	391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2014-09-23 15:30:00	WS 	009YD1900							
01403819	391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2014-09-23 16:45:00	WG 	009YD1900							
01403820	391504106225201	LSG-0 LITTLE SUGARLOAF GULCH US FROM DINERO MINE D	2014-09-24 09:00:00	WS 	009YD1900							
01403822	391517106230602	LSG-06 LITTLE SUGARLOAF GL 6 NR LEADVILLE, CO	2014-09-24 10:30:00	WS 	009YD1900							
01403823	391517106230601	SC00908124ADAA1 LSGS-05 LITTLE SUGARLOAF GL SEEP 5	2014-09-24 10:50:00	WG 	009YD1900		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330					
01403824	391519106230901	LSGS-11, LITTLE SUGARLOAF GULCH SEEP 11	2014-09-24 11:05:00	WG 	009YD1900		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330					
01403825	391518106230901	LSGS-10, LITTLE SUGARLOAF GULCH SEEP 10	2014-09-24 11:20:00	WG 	009YD1900		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330					
01403826	391512106230401	DINERO STRUCTURE AT 1200 FT NEAR LEADVILLE, CO	2014-09-24 13:40:00	WG 	009YD1900							
