pcode,qa code,method code,rounding code,qualifiers,reporting level,reporting level type,dqi code,null value qualifier,prep set no,analytical set no,analysis date,prep date,lab comment,field comment,lab stdev,analyzing entity code
01180,,,3,,0.01,lrl,I,,,,,,,,,USGS-CWSC
01110,,,3,,0.01,lrl,I,,,,,,,,,USGS-CWSC
50582,,,3,,0.01,lrl,I,,,,,,,,,USGS-CWSC
50579,,,3,,0.01,lrl,I,,,,,,,,,USGS-CWSC
82323,,,3,,0.01,lrl,I,,,,,,,,,USGS-CWSC
50574,,,3,,0.005,lrl,I,,,,,,,,,USGS-CWSC
50586,,,3,,0.005,lrl,I,,,,,,,,,USGS-CWSC
50575,,,3,,0.005,lrl,I,,,,,,,,,USGS-CWSC
82331,,,3,,0.005,lrl,I,,,,,,,,,USGS-CWSC
50577,,,3,,0.005,lrl,I,,,,,,,,,USGS-CWSC
50573,,,3,,0.005,lrl,I,,,,,,,,,USGS-CWSC
50587,,,3,,0.005,lrl,I,,,,,,,,,USGS-CWSC
01194,,,3,,0.01,lrl,I,,,,,,,,,USGS-CWSC
62844,,,3,,0.1,lrl,I,,,,,,,,,USGS-CWSC
82319,,,3,,0.02,lrl,I,,,,,,,,,USGS-CWSC
01155,,,3,,0.5,lrl,I,,,,,,,,,USGS-CWSC
01057,,,3,,0.1,lrl,I,,,,,,,,,USGS-CWSC
01049,,,3,,0.05,lrl,I,,,,,,,,,USGS-CWSC
01015,,,3,,0.2,lrl,I,,,,,,,,,USGS-CWSC
82365,,,3,,0.2,lrl,I,,,,,,,,,USGS-CWSC
22703,,,3,,0.1,lrl,I,,,,,,,,,USGS-CWSC
01132,,,3,,0.1,lrl,I,,,,,,,,,USGS-CWSC
01012,,,3,,0.05,lrl,I,,,,,,,,,USGS-CWSC
00929,,,3,,0.01,lrl,I,,,,,,,,,USGS-CWSC
00927,,,3,,0.01,lrl,I,,,,,,,,,USGS-CWSC
01105,,,3,,2,lrl,I,,,,,,,,,USGS-CWSC
00954,,,3,,0.2,lrl,I,,,,,,,,,USGS-CWSC
00665,,,3,,0.01,lrl,I,,,,,,,,,USGS-CWSC
00946,,,3,,2,lrl,I,,,,,,,,,USGS-CWSC
00937,,,3,,0.03,lrl,I,,,,,,,,,USGS-CWSC
00916,,,3,,0.2,lrl,I,,,,,,,,,USGS-CWSC
01189,,,3,,0.6,lrl,I,,,,,,,,,USGS-CWSC
01152,,,3,,0.5,lrl,I,,,,,,,,,USGS-CWSC
00985,,,3,,0.5,lrl,I,,,,,,,,,USGS-CWSC
01034,,,3,,1,lrl,I,,,,,,,,,USGS-CWSC
01045,,,3,,50,lrl,I,,,,,,,,,USGS-CWSC
01055,,,3,,0.2,lrl,I,,,,,,,,,USGS-CWSC
01067,,,3,,0.4,lrl,I,,,,,,,,,USGS-CWSC
01037,,,3,,0.02,lrl,I,,,,,,,,,USGS-CWSC
01042,,,3,,0.5,lrl,I,,,,,,,,,USGS-CWSC
01092,,,3,,3,lrl,I,,,,,,,,,USGS-CWSC
01122,,,3,,0.05,lrl,I,,,,,,,,,USGS-CWSC
01127,,,3,,0.05,lrl,I,,,,,,,,,USGS-CWSC
00978,,,3,,1,lrl,I,,,,,,,,,USGS-CWSC
01147,,,3,,1,lrl,I,,,,,,,,,USGS-CWSC
01137,,,3,,1,lrl,I,,,,,,,,,USGS-CWSC
01082,,,3,,0.5,lrl,I,,,,,,,,,USGS-CWSC
01203,,,3,,0.01,lrl,I,,,,,,,,,USGS-CWSC
01162,,,3,,0.2,lrl,I,,,,,,,,,USGS-CWSC
01239,,,3,,0.2,lrl,I,,,,,,,,,USGS-CWSC
01062,,,3,,2,lrl,I,,,,,,,,,USGS-CWSC
01077,,,3,,1,lrl,I,,,,,,,,,USGS-CWSC
01113,,,3,,0.02,lrl,I,,,,,,,,,USGS-CWSC
01097,,,3,,0.3,lrl,I,,,,,,,,,USGS-CWSC
01117,,,3,,0.02,lrl,I,,,,,,,,,USGS-CWSC
01007,,,3,,0.2,lrl,I,,,,,,,,,USGS-CWSC
01182,,,3,,0.01,lrl,I,,,,,,,,,USGS-CWSC
01112,,,3,,0.01,lrl,I,,,,,,,,,USGS-CWSC
01238,,,3,,0.01,lrl,I,,,,,,,,,USGS-CWSC
01237,,,3,,0.01,lrl,I,,,,,,,,,USGS-CWSC
82322,,,3,,0.01,lrl,I,,,,,,,,,USGS-CWSC
01236,,,3,,0.005,lrl,I,,,,,,,,,USGS-CWSC
01218,,,3,,0.005,lrl,I,,,,,,,,,USGS-CWSC
01219,,,3,,0.005,lrl,I,,,,,,,,,USGS-CWSC
82330,,,3,,0.005,lrl,I,,,,,,,,,USGS-CWSC
01247,,,3,,0.005,lrl,I,,,,,,,,,USGS-CWSC
01246,,,3,,0.005,lrl,I,,,,,,,,,USGS-CWSC
01245,,,3,,0.005,lrl,I,,,,,,,,,USGS-CWSC
01196,,,3,,0.01,lrl,I,,,,,,,,,USGS-CWSC
01244,,,3,,0.1,lrl,I,,,,,,,,,USGS-CWSC
82318,,,3,,0.02,lrl,I,,,,,,,,,USGS-CWSC
01154,,,3,,0.5,lrl,I,,,,,,,,,USGS-CWSC
01059,,,3,,0.1,lrl,I,,,,,,,,,USGS-CWSC
01051,,,3,,0.05,lrl,I,,,,,,,,,USGS-CWSC
01017,,,3,,0.2,lrl,I,,,,,,,,,USGS-CWSC
82364,,,3,,0.2,lrl,I,,,,,,,,,USGS-CWSC
22704,,,3,,0.1,lrl,I,,,,,,,,,USGS-CWSC
